x	y
0.1	9.0
0.3	22.2
0.5	30.3
0.7	34.8
0.9	36.6
1.1	36.6
1.3	35.4
1.5	33.5
1.7	31.1
1.9	28.4
2.1	25.7
2.3	23.1
2.5	20.5
2.7	18.1
2.9	16.0
3.1	14.0
3.3	12.2
3.5	10.6
3.7	9.1
3.9	7.9
4.1	6.8
4.3	5.8
4.5	5.0
4.7	4.3
4.9	3.6
5.1	3.1
5.3	2.6
5.5	2.2
5.7	1.9
5.9	1.6
6.1	1.4
6.3	1.2
6.5	1.0
6.7	0.8
6.9	0.7
7.1	0.6
7.3	0.5
7.5	0.4
7.7	0.3
7.9	0.3
8.1	0.2
8.3	0.2
8.5	0.2
8.7	0.1
8.9	0.1
9.1	0.1
9.3	0.1
9.5	0.1
9.7	0.1
9.9	0.0
10.1	0.0
10.3	0.0
10.5	0.0
10.7	0.0
10.9	0.0
11.1	0.0
11.3	0.0
11.5	0.0
11.7	0.0
11.9	0.0
12.1	0.0
12.3	0.0
12.5	0.0
12.7	0.0
12.9	0.0
13.1	0.0
13.3	0.0
13.5	0.0
13.7	0.0
13.9	0.0
14.1	0.0
14.3	0.0
14.5	0.0
14.7	0.0
14.9	0.0
15.1	0.0
15.3	0.0
15.5	0.0
15.7	0.0
15.9	0.0
16.1	0.0
16.3	0.0
16.5	0.0
16.7	0.0
16.9	0.0
17.1	0.0
17.3	0.0
17.5	0.0
17.7	0.0
17.9	0.0
18.1	0.0
18.3	0.0
18.5	0.0
18.7	0.0
18.9	0.0
19.1	0.0
19.3	0.0
19.5	0.0
19.7	0.0
19.9	0.0
