x	y
0.1	0
0.3	0.1
0.5	0.2
0.7	0.5
0.9	0.7
1.1	1
1.3	1.3
1.5	1.5
1.7	1.7
1.9	1.8
2.1	1.8
2.3	1.7
2.5	1.5
2.7	1.2
2.9	0.7
3.1	0.1
3.3	-0.5
3.5	-1.2
3.7	-2
3.9	-2.7
4.1	-3.4
4.3	-3.9
4.5	-4.4
4.7	-4.7
4.9	-4.8
5.1	-4.7
5.3	-4.4
5.5	-3.9
5.7	-3.1
5.9	-2.2
6.1	-1.1
6.3	0.1
6.5	1.4
6.7	2.7
6.9	4
7.1	5.2
7.3	6.2
7.5	7
7.7	7.6
7.9	7.9
8.1	7.9
8.3	7.5
8.5	6.8
8.7	5.8
8.9	4.5
9.1	2.9
9.3	1.2
9.5	-0.7
9.7	-2.6
9.9	-4.5
10.1	-6.3
10.3	-7.9
10.5	-9.2
10.7	-10.2
10.9	-10.9
11.1	-11
11.3	-10.8
11.5	-10.1
11.7	-8.9
11.9	-7.4
12.1	-5.4
12.3	-3.2
12.5	-0.8
12.7	1.7
12.9	4.2
13.1	6.7
13.3	8.9
13.5	10.9
13.7	12.4
13.9	13.5
14.1	14.1
14.3	14.1
14.5	13.6
14.7	12.4
14.9	10.8
15.1	8.6
15.3	6.1
15.5	3.2
15.7	0.1
15.9	-3
16.1	-6.2
16.3	-9.1
16.5	-11.7
16.7	-14
16.9	-15.7
17.1	-16.8
17.3	-17.3
17.5	-17.1
17.7	-16.2
17.9	-14.6
18.1	-12.3
18.3	-9.6
18.5	-6.3
18.7	-2.8
18.9	1
19.1	4.7
19.3	8.4
19.5	11.8
19.7	14.8
19.9	17.3
